,title,compound,content
157,"乌爹泥
",痔疮肿痛,孩儿茶、麝香为末，唾津调敷。（孙氏《集效方》）
158,"乌爹泥
",脱肛气热,孩儿茶二分，熊胆五分，片脑一分。为末，人乳搽肛上，热汁自下而肛收也。亦治痔疮。（董炳方）
159,"伏龙肝
",猝中恶气,伏龙肝末，一鸡子大，水服取吐。（《千金方》）
160,"伏龙肝
",魇寐暴绝,灶心对锅底土，研末，水服二钱，更吹入鼻。（《千金方》）中风口噤不语，心烦恍惚，手足不随，或腹中痛满，或时绝而复苏。伏龙肝末五升。水八升，搅，澄清濯之。（《千金方》）
161,"伏龙肝
",狂癫谬乱不识人,伏龙肝末，水服方寸匕，日三服。（《千金方》）
162,"伏龙肝
",小儿夜啼,伏龙肝末二钱，朱砂一钱，麝香少许。为末，蜜丸绿豆大。每服五丸，桃符汤下。（《普济方》）
163,"伏龙肝
",小儿重舌,釜下土，和苦酒涂之。（《千金方》）
164,"伏龙肝
",重舌肿木,伏龙肝末，牛蒡汁调涂之。（《圣惠方》）
165,"伏龙肝
",冷热心痛,伏龙肝末，方寸匕，热以水温，冷以酒服。（《外台秘要》）
166,"伏龙肝
",反胃吐食,灶中土年久者，为末，米饮服三钱，经验。（《百一选方》）
167,"伏龙肝
",猝然咳嗽,釜月土一分，豉七分，捣丸梧桐子大。每饮下四十丸。（《肘后方》）
168,"伏龙肝
",吐血衄血,伏龙肝末半升。新汲水一升，淘汁，和蜜服。（《广利方》）
169,"伏龙肝
",吐血泻血心腹痛,伏龙肝、地垆土、多年烟壁土，等分，每服五钱，水二碗，煎一碗，澄清，空心服，白粥补之。（《普济方》）
170,"伏龙肝
",妇人血漏,伏龙肝半两，阿胶、蚕砂（炒）各一两。为末。每空肚酒服二、三钱，以知为度。（寇氏《衍义》）赤白带下，日久黄瘁，六脉微涩。伏龙肝（炒令烟尽）、棕榈灰、屋梁上尘（炒烟尽）等分。为末，入龙脑、麝香各少许，每服三钱，温酒或淡醋汤下。一年者，半月可安。（《大全方》）
171,"伏龙肝
",产后血气攻心痛，恶物不下,用灶中心土研末，酒服二钱，泻出恶物，立效。（《救急方》）
172,"伏龙肝
",妊娠热病,伏龙肝末一鸡子许，水调服之，仍以水和涂脐方寸，干又上。（《伤寒类要》）
173,"伏龙肝
",子死腹中，母气欲绝,伏龙肝末三钱，水调下。（《十全博救方》）
174,"伏龙肝
",横生逆产,灶中心对锅底土，细研。每服一钱，酒调，仍搽母脐中。（《救急方》）
175,"伏龙肝
",胞衣不下,灶下土一寸，醋调，纳脐中，续服甘草汤三、四合。（《产宝》）
176,"伏龙肝
",中诸蛊毒,伏龙肝末一鸡子大，水服取吐。（《千金方》）
177,"伏龙肝
",六畜肉毒,方同上。阴冷发闷，冷气入腹，肿满杀人。釜月下土，和鸡子白敷之。（《千金方》）
178,"伏龙肝
",男阴猝肿,方同上。
179,"伏龙肝
",诸腋狐臭,伏龙肝末，频敷之。（《千金方》）
180,"伏龙肝
",耳出汁,绵裹伏龙肝末塞之，日三易。（《圣济录》）
181,"伏龙肝
",小儿脐疮,伏龙肝末敷之。（《圣惠方》）
182,"伏龙肝
",小儿丹毒,多年灶下黄土末，和屋漏水敷之，新汲水亦可，鸡子白或油亦可，干即易。（《肘后方》）
183,"伏龙肝
",小儿热疖,釜下土、生椒末等分。醋和涂之。（《千金方》）
184,"伏龙肝
",疮久烂,灶内黄土（年久者，研细）、入黄柏、黄丹、赤石脂、轻粉（末）等分。清油调入，油绢中贴之。勿动，数日愈。纵痒，忍之良。（《济急方》）
185,"伏龙肝
",发背欲死,伏龙肝末，酒调，浓敷之。干即易，平乃止。（《千金》）
186,"伏龙肝
",一切痈肿,伏龙肝，以蒜和作泥，贴之，干再易。或鸡子黄和亦可。（《外台秘要》）
187,"伏龙肝
",杖疮肿痛,釜月下土为末，油和涂之，卧羊皮上，频涂。（《千金方》）
188,"伏龙肝
",灸疮肿痛,灶中黄土末，煮汁淋之。（《千金方》）
189,"土墼
",白秃腊梨,灰窑内烧过红土墼四两，百草霜一两，雄黄一两，胆矾六钱，榆皮三钱，轻粉一钱。为末，猪胆汁调，剃头后搽之，百发百中，神方也。（《陆氏积德堂方》）
190,"白瓷器
",鼻衄不止,定州白瓷细末，吹少许，立止。（《经验方》）
191,"白瓷器
",吐血不止,上色白瓷器末二钱，皂荚子仁煎汤下，连服三服，即愈。（《圣济录》）
192,"白瓷器
",小便淋痛,真定瓷器（研）二两，生熟地黄末各一两。每用二钱，木通煎汤服。（《传信适用方》）一切∶处州瓷器为末。发时用二钱，以手指点津液蘸药，点舌下咽之，即效。（《普济方》）
193,"白瓷器
",目生翳膜,用细料白瓷钟一个，大火过，研末，纸筛，加雄黄二分，为末。早晚各点少许，不可多用，牛角簪拨出翳膜为妙。若红，用人退末点四角，即愈。（孙天仁《集效方》）
194,"白瓷器
",身面白丹,白瓷瓦末，和猪脂涂之。（《梅师方》）赤黑丹疥，或痒或燥，不急治，遍身即死。白瓷末，猪脂和涂之。（《圣济录》）
195,"白瓷器
",汤火伤灼,《多能鄙事》∶用青瓷碗片为末，水飞过，和桐油敷，数次瘥。《活幼口议》∶用景德镇瓷器打碎，埋灶内，炭火铺上，一夜取出，去火毒，为末，入黄丹少许敷之，立愈。
196,"乌古瓦
",折伤筋骨,秘传神效散∶治跌扑伤损，骨折骨碎，筋断，痛不可忍。此药极能理伤续断，累用累验。用路上墙脚下，往来人便溺处，久碎瓦片一块，洗净火，米醋淬五次，黄色为度，刀刮细末。每服三钱，好酒调下。在上食前，在下食后。不可以轻易而贱之，诚神方也。（邵以正真人经验方）
197,"乌古瓦
",汤火伤灼,取多年屋上吻兽为末，油和涂之，立效。（《儒门事亲方》）
198,"乌古瓦
",灸牙痛法,取土底年深，既古且润，三角瓦一块。令三姓童子，候星初出时，指第一星，下火于瓦上灸之。（《本草拾遗》）
199,"乌古瓦
",唇吻生疮,新瓦为末，生油调涂。（《集玄方》）
200,"乌古瓦
",瘢痕凸起,热瓦频熨之。（《千金方》）
201,"乌古瓦
",蜂虿螫伤,瓦摩其上，唾二七遍，置瓦于故处。（《千金》）
202,"古砖
",寒湿香港脚,砖烧红，以陈臭米泔水淬之，乘热布包三块，用膝夹住，绵被覆之，三、五次愈。（《扶寿方》）
203,"古砖
",赤眼肿痛,新砖浸粪池中，年久取放阴处，生花刷下，入脑子和点之。（《普济方》）
204,"古砖
",臀生湿疮,日以新砖坐之，能去湿气。（《集玄方》）
205,"烟胶
",牛皮血癣,烟胶三钱，寒水石三钱，白矾二钱，花椒一钱半。为末，腊猪脂调搽。（《积德堂方》）
206,"烟胶
",消渴引饮,瓦窑突上黑煤，干似铁屎者，半斤。为末，入生姜四两，同捣，绢袋盛，水五升浸汁，每饮五合。（《圣济录》）
207,"烟胶
",胞衣不下,灶突后黑土三指撮，五更酒下。（陈藏器）
208,"墨
",吐血不止,金墨磨汁，同莱菔汁饮。或生地黄汁亦可。（《集简方》）
209,"墨
",衄血不止，眩冒欲死,浓墨汁滴入鼻中。（《梅师方》）
210,"墨
",热病衄血出数升者,取好墨为末，鸡子白丸梧子大。用生地黄汁下一、二十丸，少顷再服，仍以葱汁磨墨，滴入鼻内，即止。（《外台秘要》）
211,"墨
",大小便血,好墨细末二钱，阿胶化汤调服。热多者尤相宜。（寇氏《本草衍义》）
212,"墨
",猝淋不通,好墨（烧）一两，为末。每服一字，温水服之。（《普济方》）
213,"墨
",赤白下痢,姜墨丸∶用干姜、好墨各五两。为末，醋浆和丸梧子大。每服三、四十丸，米饮下，日夜六、七服，愈。（《肘后方》）崩中漏下，青黄赤白，使人无子∶好墨一钱，水服，日二服。（《肘后方》）堕胎血溢不止。墨三两（火烧醋淬三次，出火毒），没药一两。为末。每服二钱，醋汤下。（《普济方》）
214,"墨
",妇人难产,墨一寸，末之，水服立产。（《肘后方》）
215,"墨
",胎死腹中,新汲水磨金墨，服之。（《普济方》）
216,"墨
",胞衣不出，痛引腰脊,好墨，温酒服二钱。（《肘后方》）
217,"墨
",痈肿发背,醋磨浓墨涂四围，中以猪胆汁涂之，干又上，一夜即消。（赵氏方）
218,"墨
",客忤中恶,多于道间、门外得之，令人心腹绞痛，胀满，气冲心胸，不即治杀人。捣墨，水和服二钱。（《肘后方》）
219,"墨
",飞丝入目,磨浓墨点之，即出。（《千金方》）
220,"墨
",尘物入目,方同上。
221,"墨
",产后血运，心闷气绝,以丈夫小便研浓墨一升服。（《子母秘录》）
