,title,compound,content,medicines
28,井华水,霍乱吐泻,勿食热物，饮冷水一碗，仍以水一盆浸两足，立止。（《急救良方》）,井华水
29,井华水,厌禳瘟疫,腊旦除夜，以小豆、川椒各七七粒投井中，勿令人知，能却瘟疫。,井华水
30,井华水,又法,元旦以大麻子三七粒，投井中。,三七、井华水、大麻
31,井华水,口气臭恶,正旦含井华水吐弃厕下，数度即瘥也。（《肘后方》）,井华水
32,井华水,心腹冷痛,男子病，令女人取水一杯饮之；女人病，令男子取水一杯饮之。（《肘后方》）,井华水
33,井华水,寒热注病,方见发明下。,井华水
34,井华水,火病恶寒,方见发明下。,井华水
35,井华水,疔毒疽疮,凡手指及诸处有疮起，发痒，身热恶寒，或麻木，此极毒之疮也。急用针刺破，挤去恶血，候血尽，口噙凉水吮之，水温再换，吮至痛痒皆住即愈，此妙法也。（《保寿堂方》）,井华水
36,井华水,妇人将产,井华水服半升，不作运。（《千金方》）,井华水
37,井华水,初生不啼,取冷水灌之，外以葱白茎细鞭之，即啼。（《全幼心鉴》）,井华水
38,粮罂中水,噎疾,古冢内罐罂中水，但得饮之即愈，极有神效。（《寿域方》）,粮罂中水
39,地浆,热渴烦闷,地浆一盏，饮之。（《圣惠方》）,地浆
40,地浆,干霍乱病,不吐不利，胀痛欲死。地浆三、五盏服即愈。大忌米汤。（《千金方》）,地浆
41,地浆,服药过剂闷乱者,地浆饮之。（《肘后方》）,地浆
42,地浆,闭口椒毒吐白沫,身冷欲死者。地浆饮之。（张仲景《金匮方》）,地浆
43,地浆,中野芋毒,土浆饮之。（《集简方》）,地浆
44,地浆,黄鱼毒,食此鱼，犯荆芥，能害人。服地浆解之。（《集简方》）,地浆
45,地浆,中砒霜毒,地浆调铅粉服之，立解。（《集玄方》）,地浆
46,热汤,伤寒初起,取热汤饮之，候吐则止。（陈藏器《本草》）初感风寒，头痛憎寒者。用水七碗，烧锅令赤，投水于内，取起再烧再投，如此七次，名沸汤，乘热饮一碗，以衣被覆头取汗，神效。（《伤寒蕴要》）,热汤
47,热汤,忤恶卒死,铜器或瓦器盛热汤，隔衣熨其腹上，冷即易，立愈。（陈藏器《本草》）,热汤
48,热汤,霍乱转筋,以器盛汤熨之，仍令蹋器，使足底热彻，冷则易。（《嘉本草》）,热汤
49,热汤,暑月死,以热汤徐徐灌之，小举其头，令汤入腹，即苏。（《千金方》）,热汤
50,热汤,火眼赤烂紧闭目,以热汤沃之，汤冷即止，频沃取安，妙在闭目。或加薄荷、防风、荆芥煎汤沃之，亦妙。（赵原阳《济急方》）,热汤、防风
51,热汤,金疮血出不止,以故布蘸热汤之。（《延寿书》）,热汤
52,热汤,代指肿痛,麻沸汤渍之，即安。（《千金方》）,热汤
53,热汤,痈肿初起,以热汤频沃之，即散也。（《集简方》）,热汤
54,热汤,冻疮不瘥,热汤洗之。（陈藏器）马汗入疮，肿痛欲死。沸汤温洗，即瘥。（《千金方》）,热汤
55,热汤,蝎虿螫伤,温汤渍之，数易，至旦愈。（华佗治彭城夫人方）,热汤、温汤
56,热汤,蛇绕不解,热汤淋之，即脱。（《千金方》）,热汤
57,浆水,霍乱吐下,酸浆水，煎干姜屑，呷之。（《兵部手集》）,浆水、酸浆、干姜
58,浆水,过食脯腊,筋痛闷绝。浆水煮粥，入少鹰屎，和食。（孙真人方）,浆水
59,浆水,滑胎易产,酸浆水和水少许，顿服。（《产宝》）,浆水、酸浆
60,浆水,手指肿痛,浆水入少盐，热渍之，冷即易之。（孙真人方）,浆水
61,浆水,面上黑子,每夜以暖浆水洗面，以布揩赤，用白檀香磨汁涂之。（《外台秘要》）,浆水、檀香
62,浆水,骨哽在咽,磁石（火醋淬）、陈橘红（焙）、多年浆水脚（炒），等分为末，别以浆水脚和丸芡子大，每含咽一丸。（《圣济录》）,浆水、磁石
63,磨刀水,小便不通,磨刀交股水一盏，服之效。（《集简方》）,磨刀水
64,磨刀水,肛门肿痛，欲作痔疮,急取屠刀磨水服，甚效。（《集简方》）,磨刀水
65,磨刀水,盘肠生产，肠干不上者,以磨刀水少润肠，煎好磁石二杯，温服，自然收上，乃扁鹊方也。,磁石、磨刀水
66,磨刀水,蛇咬毒攻入腹,以两刀于水中相摩，饮其汁。（《救急方》）,磨刀水
67,磨刀水,耳中卒痛,磨刀铁浆，滴入即愈。（《活人心统》）,铁浆、磨刀水
68,白炭,卒然咽噎,炭末蜜丸，含咽。（《千金方》）白虎风痛，日夜走注，百节如啮。炭灰五升，蚯蚓屎一升，红花七捻，和熬。以醋拌之，用故布包二包，更互熨痛处，取效。（《圣惠方》）久近肠风（下血）。用紧炭三钱，枳壳（烧存性）五钱。为末。每服三钱，五更米饮下一服，天明再服，当日见效。忌油腻毒物。（《普济方》）,白炭、蚯蚓
69,白炭,汤火灼疮,炭末，香油调涂。（《济急方》）,白炭
70,白炭,白癞头疮,白炭烧红，投沸汤中，温洗之取效。（《百一方》）,白炭
71,白炭,阴囊湿痒,桴炭、紫苏叶末，扑之。（《经验方》）,白炭
72,灯火,搅肠沙痛,阴阳腹痛，手足冷，但身上有红点。以灯草蘸油点火，淬于点上。（《济急方》）,灯火
73,灯火,小儿诸惊,仰向后者，灯火淬其囟门、两眉际之上下。眼翻不下者，淬其脐之上下。不省人事者，淬其手足心、心之上下。手拳不开、目往上者，淬其顶心、两手心。撮口出白沫者，淬其口上下、手足心。（《小儿惊风秘诀》）,灯火
74,灯火,百虫咬伤,以灯火熏之，出水妙。（《济急方》）,灯火
75,灯火,杨梅毒疮,方广《心法附余》∶用铅汞结砂、银朱各二钱，白花蛇一钱。为末，作纸捻七条。初日用三条，自后日用一条，香油点灯于烘炉中，放被内盖卧，勿透风。须食饱口含椒茶，热则吐去，再含。,灯火、银朱、白花蛇
76,灯火,神灯熏法,用银朱二钱，孩儿茶、龙挂香、皂角子各一钱，为末，以纸卷作灯心大，长三寸。每用一条，安灯盏内，香油浸点，置水桶中，以被围坐，用鼻吸烟咽之，口含冷茶，热则吐去。日熏二次。三日后口中破皮，以陈酱水漱之。,灯火、银朱、灯盏
77,灯火,神灯照法,治杨梅疮，年久破烂坑陷者。用银朱、水粉、线香各三钱，乳香、没药各五分，片脑二分。为末，以纸卷作捻，浸油点灯照疮，日三次，七日见效。须先服通圣散数帖，临时口含椒茶，以防毒瓦斯入齿也。,灯火、银朱、杨梅、没药
78,灯火,年深疥癣，遍身延蔓者,硫黄、艾叶研匀作捻，浸油点灯，于被中熏之。以油涂口鼻耳目，露之。（《集玄方》）,灯火
79,白垩,衄血不止,白土末五钱，井华水调服，二服除根。（《瑞竹堂方》）,白垩、井华水
80,白垩,水泄不化，日夜不止,白垩（）、干姜（炮）各一两，楮叶（生研二两）。为末，糊丸绿豆大。每米饮下二十丸。（《普济方》）翻胃吐食，男妇皆治。白善土（赤，以米醋一升淬之，再再淬，醋干为度），取一两（研），干姜二钱半（炮）。为末。每服一钱，调下。服至一斤以上为妙。（《千金翼》）,白垩、干姜、绿豆
81,白垩,卒暴咳嗽,白善土粉、白矾各一两。为末，姜汁糊丸梧子大。临卧姜汤服二十丸。（《普济方》）风赤烂眼，倒睫拳毛。,白垩
82,白垩,华佗方,用白土一两，铜青一钱。为末。每以半钱泡汤洗。《干坤生意》∶加焰硝半两。为末，汤泡杏仁杵，和丸皂子大。每用凉水浸一丸，洗眼。（《乾坤秘韫》）,铜青、白垩
83,白垩,小儿热丹,白土一分，寒水石半两。为末。新水调涂。（钱乙《小儿方》）,白垩
84,白垩,痱子瘙痒,旧屋梁上刮赤白垩末，敷之。（《普济方》）,白垩
85,白垩,代指肿痛,猪膏和白善土，敷之。（《肘后方》）,白垩
86,白垩,疮不干,白善土研末，生油调搽。（《集玄方》）,白垩
87,赤土,身面印文刺破,以醋调赤土敷之，干又易，以黑灭为度。（《千金方》）,赤土
88,黄土,小儿吃土,用干黄土一块，研末，浓煎黄连汤调下。《救急方》,黄土、黄连
89,黄土,乌纱惊风,小儿惊风，遍身都乌者。急推向下，将黄土一碗，捣末，入久醋一钟，炒热包定熨之，引下至足，刺破为妙。（《小儿秘诀》）,黄土
90,黄土,卒患心痛,画地作王字，撮取中央土，水和一升服，良。（陈藏器《本草》）,黄土
91,黄土,目卒无见,黄土搅水中，澄清洗之。（《肘后方》）牛马肉毒及肝毒。取好土三升，水煮，清一升服，即愈。,黄土
92,黄土,一方,入头发寸截和之，发皆贯肝而出也。（《肘后方》）,黄土
93,黄土,内痔痛肿,朝阳黄土、黄连末、皮硝各一两。用猪胆汁同研如泥，每日旋丸枣大，纳入肛内，过一夜，随大便去之。内服乌梅、黄连二味丸药。（孙氏《集效方》）颠扑欲死，一切伤损，从高坠下，及木石所迮，落马扑车，淤血凝滞，气绝欲死者，亦活。用净土五升蒸热，以故布重裹作二包，更互熨之。勿大热，恐破肉，取痛止则已，神效之方。（孙真人《千金方》）,黄土、黄连
94,黄土,杖疮未破,干黄土末，童尿入鸡子清调涂刷上，干即上，随以热水洗去，复刷复洗，数十次，以紫转红为度。仍刷两胯，以防血攻阴也。（《摄生方》）,黄土
95,黄土,汤火伤灼,醋调黄土，涂之。（《谈野翁方》）,黄土
96,黄土,蜈蚣螫伤,画地作王字，内取土掺之，即愈。（《集简方》）,黄土
97,黄土,蜂蚁叮螫,反手取地上土敷之，或入醋调。（《千金方》）,黄土
98,黄土,蠼尿疮,画地作蠼形，以刀细取腹中土，唾和涂之，再涂即愈。,黄土
99,黄土,孙真人云,予得此疾，经五、六日不愈，或教此法，遂瘳。乃知万物相感，莫晓其由也。（《千金方》）,黄土
100,东壁土,急心痛,五十年陈壁土、枯矾各二钱。为末，蜜丸，艾汤服。（《集玄方》）,东壁土
101,东壁土,霍乱烦闷,向阳壁土，煮汁服。（《圣济录》）药毒烦闷欲死者。东壁土调水三升，顿饮之。（《肘后方》）,东壁土
102,东壁土,解乌头毒,不拘川乌、草乌毒。用多年陈壁土，泡汤服之。冷水亦可。（《通变要法》）,东壁土
103,东壁土,六畜肉毒,东壁土末，水服一钱，即安。（《集玄方》）,东壁土
104,东壁土,目中翳膜,东壁土细末，日点之，泪出佳。（《肘后方》）,东壁土
105,东壁土,肛门凸出,故屋东壁上土一升，研末，以长皂荚挹末粉之，仍炙皂荚，更互熨之。（《外台秘要》）,东壁土、皂荚
106,东壁土,痱子瘙痒,干壁土末敷之，随手愈。（《普济方》）,东壁土
107,东壁土,耳疮唇疮,东壁土和胡粉敷之。（《救急方》）破经年，脓水不绝。用百年茅屋厨中壁土为末，入轻粉调敷，半月即干愈。（《永类方》）,东壁土
108,东壁土,诸般恶疮,拔毒散∶东墙上土、大黄等分。为末，用无根井华水调搽，干再上。（《瑞竹堂方》）,东壁土、井华水、大黄
109,东壁土,发背痈疖多年,烟熏壁土、黄柏等分，为末。姜汁拌调摊贴之，更以茅香汤调服一钱匕。（《经验方》）,东壁土
110,烧尸场上土,好魇多梦,烧人灰，置枕中、履中，自止。（《本草拾遗》）尸厥猝死，不知人者。烧尸场土二、三钱，擂细，汤泡灌之，即活。如无，以灶心土代之。（何氏方）,烧尸场上土
111,烧尸场上土,小儿夜啼,烧尸场土，置枕边。（《集简方》）,烧尸场上土
112,烧尸场上土,脚底多汗,烧人场上土，铺于鞋底内蹉之。灰亦可。（《集玄方》）,烧尸场上土
113,冢上土,肠痈,死人冢上土，作泥涂之，良。《千金方》）,冢上土
114,胡燕窠土,湿疥疮,胡燕窠大者，用抱子处土，为末，以淡盐汤洗拭，干敷之，日一上。（《小品方》）,胡燕窠土
115,胡燕窠土,黄水肥疮,燕窠土一分，麝香半分。研敷之。（《善济方》）浸淫湿疮发于心下者，不早治杀人。用胡燕窠中土，研末，水和敷。（葛氏）,胡燕窠土
116,胡燕窠土,口角烂疮,燕窠泥敷之，良。（《救急方》）,胡燕窠土
117,胡燕窠土,白秃头疮,百年屋下燕窠泥、窠。研末，剃后麻油调搽。（《圣济录》）蠼尿疮绕身汁出。以燕窠中土和猪脂、苦酒敷之。（《外台秘要》）瘭疽恶疮，着手足肩背，累累如赤豆，出汁。剥痂，以温醋、米泔洗净，用胡燕窠土和百日男儿屎，敷之。（《千金方》）皮肤中毒，名症疰。用醋和燕窠土敷之。（《千金方》）,胡燕窠土
118,胡燕窠土,风瘙瘾疹,胡燕窠土，水和敷之。（《千金方》）,胡燕窠土
119,胡燕窠土,小儿丹毒,向阳燕窠土，为末，鸡子白和敷。（《卫生易简方》）,胡燕窠土
120,胡燕窠土,一切恶疮,燕窠内外泥粪，研细，油调搽。一加黄柏末。（《瑞竹堂方》）,胡燕窠土
121,土蜂窠,女人难产,土蜂儿窠，水泡汤饮之。取时逢单是男，双是女，最验。（《妇人良方》）,土蜂窠、土蜂
122,土蜂窠,肿毒痛,陈藏器《本草》∶用醋和泥蜂窠，涂之。《直指》∶加川乌头等分，云未结则散，已结则破也。,乌头、土蜂窠
123,土蜂窠,疔疮肿痛,土蜂窠（）、蛇皮（烧）等分。酒服一钱。（《直指方》）,土蜂窠、土蜂
124,土蜂窠,咽喉乳蛾,土蜂窠一个。为末。先用楮叶擦破病患舌，令血出。以醋和末，用翎点之。令痰涎出为效。后用扁竹根擂水服数口，取利。（《瑞竹堂方》）手足发指毒痛不可忍。用壁间泥蜂窠为末，入乳香少许研匀，以醋调涂，干即以醋润之。（《奇效方》）,土蜂窠、土蜂
125,土蜂窠,蠼尿疮,螟蛉窠，水调敷之。（《集玄方》）,土蜂窠
126,蚯蚓泥,断截热疟,邵氏《青囊方》∶用五月五日午时取蚯蚓粪，以面和丸梧子大，朱砂为衣。每服三丸，无根水下。忌生冷，即止。皆效。或加菖蒲末、独蒜头同丸。,菖蒲、蚯蚓泥、蚯蚓
127,蚯蚓泥,伤寒谵语,蚯蚓屎，凉水调服。（《简便方》）,蚯蚓泥、蚯蚓
128,蚯蚓泥,小便不通,蚯蚓粪、朴硝等分。水和敷脐下，即通。（《皆效方》）,蚯蚓泥、蚯蚓、朴硝
129,蚯蚓泥,小儿吐乳,取田中地龙粪一两，研末，空心以米汤服半钱，不过二、三服效。（《圣惠方》）,蚯蚓泥
130,蚯蚓泥,小儿卵肿,地龙粪，以薄荷汁和涂之。（危氏《得效方》）,蚯蚓泥
131,蚯蚓泥,妇人吹乳,用韭地中蚯蚓屎，研细筛过，米醋调，浓敷，干则换，三次即愈。凉水调亦可。（蔺氏《经验方》）,蚯蚓泥、蚯蚓
132,蚯蚓泥,时行腮肿,柏叶汁，调蚯蚓泥涂之。（丹溪方）,蚯蚓泥
133,蚯蚓泥,一切丹毒,水和蛐泥敷之。（《外台》）脚心肿痛，因久行久立致者。以水和蚯蚓粪浓敷，一夕即愈。（《永类钤方》）,蚯蚓泥、蚯蚓
134,蚯蚓泥,耳后月蚀,烧蚯蚓粪，猪脂和敷。（《子母秘录》）,蚯蚓泥、蚯蚓
135,蚯蚓泥,耳出水成疮,蚯蚓粪，为末敷之，并吹入。（《千金方》）,蚯蚓泥、蚯蚓
136,蚯蚓泥,齿宣露,蚯蚓泥，水和成团，赤，研末，腊猪脂调敷之，日三。（《千金方》）,蚯蚓泥
137,蚯蚓泥,咽喉骨哽,五月五日午时韭畦中，面东勿语，取蚯蚓泥收之，每用少许，搽喉外，其骨自消，名六一泥。,蚯蚓泥
138,蚯蚓泥,蜈蚣螫伤,蚯蚓泥敷之，效。（《集效方》）,蚯蚓泥
139,蚯蚓泥,金疮困顿,蚯蚓屎末，水服方寸匕，日三服。（《千金方》）,蚯蚓泥、蚯蚓
140,蚯蚓泥,解射罔毒,蚯蚓屎末，井水服二方寸匕。（《千金方》）,蚯蚓泥、蚯蚓
141,蚯蚓泥,吐血不止,石榴根下地龙粪，研末，新汲水服三钱。（《圣惠》）,蚯蚓泥
142,蚯蚓泥,反胃转食,地龙粪一两，木香三钱，大黄七钱。为末。每服五钱，无根水调服。忌煎爆酒醋椒姜热物。一、二服，其效如神。（邵真人《经验方》）,蚯蚓泥、大黄
143,蚯蚓泥,燕窝生疮,韭地蛐屎，米泔水和，过，入百草霜等分。研末，香油调涂之。（《摘玄方》）,蚯蚓泥、百草霜
144,蚯蚓泥,小儿头热，鼻塞不通,湿地龙粪研饼，贴囟上，日数易之。（《圣惠方》）,蚯蚓泥
145,蚯蚓泥,足烂疮,韭地蚯蚓泥，干研，入轻粉，清油调敷。（《便民图纂》）,蚯蚓泥
146,蚯蚓泥,外肾生疮,蚯蚓屎二分，绿豆粉一分。水研涂之，干又上之。（《便民图纂》）,蚯蚓泥、绿豆、蚯蚓
147,粪坑底泥,疔肿,粪下土、蝉蜕、全蝎等分。捣作钱大饼，香油煎滚，温服。以滓敷疮四围，疔自出也。（《圣济总录》）,粪坑底泥、蝉蜕
148,檐溜下泥,蝎虿螫叮,蝎有雌雄∶雄者痛在一处，以井底泥封之，干则易；雌者痛牵诸处，以瓦沟下泥封之。若无雨，以新汲水，从屋上淋下取泥。（《肘后方》）,檐溜下泥、井底泥
149,井底泥,头风热痛,井底泥和大黄、芒硝末，敷之。（《千金方》）,大黄、井底泥
150,井底泥,胎衣不下,井底泥，以鸡子大，井华水服，即下。（《集玄方》）,井华水、井底泥
151,井底泥,卧忽不寤,勿以火照，但痛啮其踵及足拇趾甲际，而多唾其面，以井底泥涂其目，令人垂头入井中，呼其姓名，便苏也。（《肘后方》）,井底泥
152,井底泥,小儿热疖,井底泥敷其四围。（《谈野翁方》）,井底泥
153,井底泥,蜈蚣螫人,井底泥频敷之。（《千金方》）,井底泥
154,乌爹泥,鼻渊流水,孩儿茶末，吹之，良。（《本草权度》）,乌爹泥
155,乌爹泥,牙疳口疮,孩儿茶、硼砂等分。为末搽之。《积德堂方》∶治走马牙疳，用孩儿茶、雄黄、贝母等分。为末，米泔漱净搽之。,贝母、乌爹泥、雄黄、硼砂
156,乌爹泥,下疳阴疮,外科用孩儿茶末，米泔洗净，敷之神效。或加胡黄连等分。《纂奇方》∶孩儿茶一钱，珍珠一分，片脑半分，为末敷之。唐氏用孩儿茶一钱，轻粉一分，片脑一字。为末搽之。,乌爹泥、胡黄连
157,乌爹泥,痔疮肿痛,孩儿茶、麝香为末，唾津调敷。（孙氏《集效方》）,乌爹泥
158,乌爹泥,脱肛气热,孩儿茶二分，熊胆五分，片脑一分。为末，人乳搽肛上，热汁自下而肛收也。亦治痔疮。（董炳方）,乌爹泥
159,伏龙肝,猝中恶气,伏龙肝末，一鸡子大，水服取吐。（《千金方》）,伏龙肝
160,伏龙肝,魇寐暴绝,灶心对锅底土，研末，水服二钱，更吹入鼻。（《千金方》）中风口噤不语，心烦恍惚，手足不随，或腹中痛满，或时绝而复苏。伏龙肝末五升。水八升，搅，澄清濯之。（《千金方》）,伏龙肝
161,伏龙肝,狂癫谬乱不识人,伏龙肝末，水服方寸匕，日三服。（《千金方》）,伏龙肝
162,伏龙肝,小儿夜啼,伏龙肝末二钱，朱砂一钱，麝香少许。为末，蜜丸绿豆大。每服五丸，桃符汤下。（《普济方》）,伏龙肝、绿豆、桃符
163,伏龙肝,小儿重舌,釜下土，和苦酒涂之。（《千金方》）,伏龙肝
164,伏龙肝,重舌肿木,伏龙肝末，牛蒡汁调涂之。（《圣惠方》）,伏龙肝
165,伏龙肝,冷热心痛,伏龙肝末，方寸匕，热以水温，冷以酒服。（《外台秘要》）,伏龙肝
166,伏龙肝,反胃吐食,灶中土年久者，为末，米饮服三钱，经验。（《百一选方》）,伏龙肝
167,伏龙肝,猝然咳嗽,釜月土一分，豉七分，捣丸梧桐子大。每饮下四十丸。（《肘后方》）,梧桐、伏龙肝
168,伏龙肝,吐血衄血,伏龙肝末半升。新汲水一升，淘汁，和蜜服。（《广利方》）,伏龙肝
169,伏龙肝,吐血泻血心腹痛,伏龙肝、地垆土、多年烟壁土，等分，每服五钱，水二碗，煎一碗，澄清，空心服，白粥补之。（《普济方》）,伏龙肝
170,伏龙肝,妇人血漏,伏龙肝半两，阿胶、蚕砂（炒）各一两。为末。每空肚酒服二、三钱，以知为度。（寇氏《衍义》）赤白带下，日久黄瘁，六脉微涩。伏龙肝（炒令烟尽）、棕榈灰、屋梁上尘（炒烟尽）等分。为末，入龙脑、麝香各少许，每服三钱，温酒或淡醋汤下。一年者，半月可安。（《大全方》）,棕榈、阿胶、伏龙肝、梁上尘
171,伏龙肝,产后血气攻心痛，恶物不下,用灶中心土研末，酒服二钱，泻出恶物，立效。（《救急方》）,伏龙肝
172,伏龙肝,妊娠热病,伏龙肝末一鸡子许，水调服之，仍以水和涂脐方寸，干又上。（《伤寒类要》）,伏龙肝
173,伏龙肝,子死腹中，母气欲绝,伏龙肝末三钱，水调下。（《十全博救方》）,伏龙肝
174,伏龙肝,横生逆产,灶中心对锅底土，细研。每服一钱，酒调，仍搽母脐中。（《救急方》）,伏龙肝
175,伏龙肝,胞衣不下,灶下土一寸，醋调，纳脐中，续服甘草汤三、四合。（《产宝》）,伏龙肝、甘草
176,伏龙肝,中诸蛊毒,伏龙肝末一鸡子大，水服取吐。（《千金方》）,伏龙肝
177,伏龙肝,六畜肉毒,方同上。阴冷发闷，冷气入腹，肿满杀人。釜月下土，和鸡子白敷之。（《千金方》）,伏龙肝
178,伏龙肝,男阴猝肿,方同上。,伏龙肝
179,伏龙肝,诸腋狐臭,伏龙肝末，频敷之。（《千金方》）,伏龙肝
180,伏龙肝,耳出汁,绵裹伏龙肝末塞之，日三易。（《圣济录》）,伏龙肝
181,伏龙肝,小儿脐疮,伏龙肝末敷之。（《圣惠方》）,伏龙肝
182,伏龙肝,小儿丹毒,多年灶下黄土末，和屋漏水敷之，新汲水亦可，鸡子白或油亦可，干即易。（《肘后方》）,屋漏水、黄土、伏龙肝
183,伏龙肝,小儿热疖,釜下土、生椒末等分。醋和涂之。（《千金方》）,伏龙肝
184,伏龙肝,疮久烂,灶内黄土（年久者，研细）、入黄柏、黄丹、赤石脂、轻粉（末）等分。清油调入，油绢中贴之。勿动，数日愈。纵痒，忍之良。（《济急方》）,黄土、伏龙肝
185,伏龙肝,发背欲死,伏龙肝末，酒调，浓敷之。干即易，平乃止。（《千金》）,伏龙肝
186,伏龙肝,一切痈肿,伏龙肝，以蒜和作泥，贴之，干再易。或鸡子黄和亦可。（《外台秘要》）,伏龙肝
187,伏龙肝,杖疮肿痛,釜月下土为末，油和涂之，卧羊皮上，频涂。（《千金方》）,伏龙肝
188,伏龙肝,灸疮肿痛,灶中黄土末，煮汁淋之。（《千金方》）,黄土、伏龙肝
189,土墼,白秃腊梨,灰窑内烧过红土墼四两，百草霜一两，雄黄一两，胆矾六钱，榆皮三钱，轻粉一钱。为末，猪胆汁调，剃头后搽之，百发百中，神方也。（《陆氏积德堂方》）,土墼、雄黄、百草霜
190,白瓷器,鼻衄不止,定州白瓷细末，吹少许，立止。（《经验方》）,白瓷器
191,白瓷器,吐血不止,上色白瓷器末二钱，皂荚子仁煎汤下，连服三服，即愈。（《圣济录》）,皂荚、白瓷器
192,白瓷器,小便淋痛,真定瓷器（研）二两，生熟地黄末各一两。每用二钱，木通煎汤服。（《传信适用方》）一切∶处州瓷器为末。发时用二钱，以手指点津液蘸药，点舌下咽之，即效。（《普济方》）,地黄、白瓷器
193,白瓷器,目生翳膜,用细料白瓷钟一个，大火过，研末，纸筛，加雄黄二分，为末。早晚各点少许，不可多用，牛角簪拨出翳膜为妙。若红，用人退末点四角，即愈。（孙天仁《集效方》）,雄黄、白瓷器
194,白瓷器,身面白丹,白瓷瓦末，和猪脂涂之。（《梅师方》）赤黑丹疥，或痒或燥，不急治，遍身即死。白瓷末，猪脂和涂之。（《圣济录》）,白瓷器
195,白瓷器,汤火伤灼,《多能鄙事》∶用青瓷碗片为末，水飞过，和桐油敷，数次瘥。《活幼口议》∶用景德镇瓷器打碎，埋灶内，炭火铺上，一夜取出，去火毒，为末，入黄丹少许敷之，立愈。,炭火、白瓷器
196,乌古瓦,折伤筋骨,秘传神效散∶治跌扑伤损，骨折骨碎，筋断，痛不可忍。此药极能理伤续断，累用累验。用路上墙脚下，往来人便溺处，久碎瓦片一块，洗净火，米醋淬五次，黄色为度，刀刮细末。每服三钱，好酒调下。在上食前，在下食后。不可以轻易而贱之，诚神方也。（邵以正真人经验方）,乌古瓦、续断
197,乌古瓦,汤火伤灼,取多年屋上吻兽为末，油和涂之，立效。（《儒门事亲方》）,乌古瓦
198,乌古瓦,灸牙痛法,取土底年深，既古且润，三角瓦一块。令三姓童子，候星初出时，指第一星，下火于瓦上灸之。（《本草拾遗》）,乌古瓦
199,乌古瓦,唇吻生疮,新瓦为末，生油调涂。（《集玄方》）,乌古瓦
200,乌古瓦,瘢痕凸起,热瓦频熨之。（《千金方》）,乌古瓦
201,乌古瓦,蜂虿螫伤,瓦摩其上，唾二七遍，置瓦于故处。（《千金》）,乌古瓦
202,古砖,寒湿香港脚,砖烧红，以陈臭米泔水淬之，乘热布包三块，用膝夹住，绵被覆之，三、五次愈。（《扶寿方》）,古砖
