name,description,source
火病惡寒,冰雪大盛時，取新汲冷水，從頭澆之，盡二十斛，口噤氣絕，俄而起坐，雲熱不可忍，乞冷凍飲料。嗣伯以水一升飲之，疾遂癒。,井華水
疔毒疽瘡,凡手指及諸處有瘡起，發癢，身熱惡寒，或麻木，此極毒之瘡也。急用針刺破，擠去惡血，候血盡，口噙涼水吮之，水溫再換，吮至痛癢皆住即癒，此妙法也。（《保夀堂方》）,井華水
婦人將産,井華水服半升，不作運。（《千金方》）,井華水
初生不啼,取冷水灌之，外以蔥白莖細鞭之，即啼。（《全幼心鑑》）,井華水
噎疾,古冢内罐罂中水，但得飲之即癒，極有神效。（《夀域方》）,糧罂中水
熱渴煩悶,地漿一盞，飲之。（《聖惠方》）,地漿
乾霍亂病,不吐不利，脹痛欲死。地漿三、五盞服即癒。大忌米湯。（《千金方》）,地漿
服藥過劑悶亂者,地漿飲之。（《肘後方》）,地漿
閉口椒毒吐白沫,身冷欲死者。地漿飲之。（張仲景《金匱方》）,地漿
中野芋毒,土漿飲之。（《集簡方》）,地漿
黃 魚毒,食此魚，犯荊芥，能害人。服地漿解之。（《集簡方》）,地漿
中砒霜毒,地漿調鉛粉服之，立解。（《集玄方》）,地漿
傷寒初起,取熱湯飲之，候吐則止。（陳藏器《本草》）,熱湯
忤惡卒死,銅器或瓦器盛熱湯，隔衣熨其腹上，冷即易，立癒。（陳藏器《本草》）,熱湯
霍亂轉筋,以器盛湯熨之，仍令蹋器，使足底熱徹，冷則易。（《嘉 本草》）,熱湯
暑月 死,以熱湯徐徐灌之，小舉其頭，令湯入腹，即蘇。（《千金方》）,熱湯
火眼赤爛緊閉目,以熱湯沃之，湯冷即止，頻沃取安，妙在閉目。或加薄荷、防風、荊芥煎湯沃之，亦妙。（趙原陽《濟急方》）,熱湯
金瘡血出不止,以故布蘸熱湯 之。（《延夀書》）,熱湯
代指腫痛,麻沸湯漬之，即安。（《千金方》）,熱湯
癰腫初起,以熱湯頻沃之，即散也。（《集簡方》）,熱湯
凍瘡不瘥,熱湯洗之。（陳藏器）,熱湯
蠍虿螫傷,溫湯漬之，數易，至旦癒。（華佗治彭城夫人方）,熱湯
蛇繞不解,熱湯淋之，即脫。（《千金方》）,熱湯
霍亂吐下,酸漿水，煎乾薑屑，呷之。（《兵部手集》）,漿水
過食脯臘,筋痛悶絕。漿水煮粥，入少鷹屎，和食。（孫真人方）,漿水
滑胎易産,酸漿水和水少許，頓服。（《産寶》）,漿水
手指腫痛,漿水入少鹽，熱漬之，冷即易之。（孫真人方）,漿水
面上黑子,每夜以暖漿水洗面，以布揩赤，用白檀香磨汁塗之。（《外台秘要》）,漿水
骨哽在咽,磁石（火 醋淬）、陳橘紅（焙）、多年漿水腳（炒），等分爲末，别以漿水腳和丸芡子大，每含咽一丸。（《聖濟錄》）,漿水
小便不通,磨刀交股水一盞，服之效。（《集簡方》）,磨刀水
肛門腫痛，欲作痔瘡,急取屠刀磨水服，甚效。（《集簡方》）,磨刀水
盤腸生産，腸乾不上者,以磨刀水少潤腸，煎好磁石二杯，溫服，自然收上，乃扁鵲方也。,磨刀水
蛇咬毒攻入腹,以兩刀于水中相摩，飲其汁。（《救急方》）,磨刀水
耳中卒痛,磨刀鐵漿，滴入即癒。（《活人心統》）,磨刀水
卒然咽噎,炭末蜜丸，含咽。（《千金方》）,白炭
湯火灼瘡,炭末，香油調塗。（《濟急方》）,白炭
白癩頭瘡,白炭燒紅，投沸湯中，溫洗之取效。（《百一方》）,白炭
陰囊濕癢,桴炭、紫蘇葉末，撲之。（《經驗方》）,白炭
攪腸沙痛,陰陽腹痛，手足冷，但身上有紅點。以燈草蘸油點火，淬于點上。（《濟急方》,燈火
小兒諸驚,仰向後者，燈火淬其囟門、兩眉際之上下。眼翻不下者，淬其臍之上下。不省人事者，淬其手足心、心之上下。手拳不開、目往上者，淬其頂心、兩手心。撮口出白沫者，淬其口上下、手足心。（《小兒驚風秘訣》）,燈火
百蟲咬傷,以燈火熏之，出水妙。（《濟急方》）,燈火
楊梅毒瘡,用鉛汞結砂、銀朱各二錢，白花蛇一錢。爲末，作紙撚七條。初日用三條，自後日用一條，香油點燈于烘爐中，放被内蓋卧，勿透風。須食飽口含椒茶，熱則吐去，再含,燈火
神燈熏法,用銀朱二錢，孩兒茶、龍挂香、皂角子各一錢，爲末，以紙卷作燈心大，長三寸。每用一條，安燈盞内，香油浸點，置水桶中，以被圍坐，用鼻吸煙咽之，口含冷茶，熱則吐去。日熏二次。三日後口中破皮，以陳醬水漱之,燈火
神燈照法,治楊梅瘡，年久破爛坑陷者。用銀朱、水粉、線香各三錢，乳香、沒藥各五分，片腦二分。爲末，以紙卷作撚，浸油點燈照瘡，日三次，七日見效。須先服通聖散數帖，臨時口含椒茶，以防毒氣入齒也。,燈火
年深疥癬，遍身延蔓者,硫黃、艾葉研勻作撚，浸油點燈，于被中熏之。以油塗口鼻耳目，露之。（《集玄方》）,燈火
衄血不止,白土末五錢，井華水調服，二服除根。（《瑞竹堂方》）,白垩
水洩不化，日夜不止,白垩（ ）、乾薑（炮）各一兩，楮葉（生研二兩）。爲末，糊丸綠豆 大。每米飲下二十丸。（《普濟方》）,白垩
卒暴咳嗽,白善土粉、白礬各一兩。爲末，薑汁糊丸梧子大。臨卧薑湯服二十丸。（《普濟方》）,白垩
風赤爛眼，倒睫拳毛,用白土一兩，銅青一錢。爲末。每以半錢泡湯洗。,白垩
風赤爛眼，倒睫拳毛,加焰硝半兩。爲末，湯泡杏仁杵，和丸皂子大。每用涼水浸一丸，洗眼。（《乾坤秘韫》）,白垩
小兒熱丹,白土一分，寒水石半兩。爲末。新水調塗。（錢乙《小兒方》）,白垩
痱子瘙癢,舊屋梁上刮赤白垩末，敷之。（《普濟方》）,白垩
代指腫痛,豬膏和白善土，敷之。（《肘後方》）,白垩
瘡不乾,白善土 研末，生油調搽。（《集玄方》）,白垩
牙宣疳 ,赤土、荊芥葉同研，揩之，日三次。（《普濟方》）,赤土
身面印文刺破,以醋調赤土敷之，乾又易，以黑滅爲度。（《千金方》）,赤土
小兒吃土,用乾黃土一塊，研末，濃煎黃連湯調下。《救急方,黃土
烏紗驚風,小兒驚風，遍身都烏者。急推向下，將黃土一碗，搗末，入久醋一鍾，炒熱包定熨之，引下至足，刺破爲妙。（《小兒秘訣》）,黃土
卒患心痛,畫地作王字，撮取中央土，水和一升服，良。（陳藏器《本草》）,黃土
目卒無見,黃土攪水中，澄清洗之。（《肘後方》）,黃土
目卒無見,入頭發寸截和之，發皆貫肝而出也。（《肘後方》）,黃土
内痔痛腫,朝陽黃土、黃連末、皮硝各一兩。用豬膽汁同研如泥，每日旋丸棗大，納入肛内，過一夜，随大便去之。内服烏梅、黃連二味丸藥。（孫氏《集效方》）,黃土
杖瘡未破,乾黃土末，童尿入雞子清調塗刷上，乾即上，随以熱水洗去，復刷復洗，數十次，以紫轉紅爲度。仍刷兩胯，以防血攻陰也。（《攝生方》）,黃土
湯火傷灼,醋調黃土，塗之。（《談野翁方》）,黃土
蜈蚣螫傷,畫地作王字，内取土摻之，即癒。（《集簡方》）,黃土
蜂蟻叮螫,反手取地上土敷之，或入醋調。（《千金方》）,黃土
蠼 尿瘡,畫地作蠼 形，以刀細取腹中土，唾和塗之，再塗即癒,黃土
孫真人雲,予得此疾，經五、六日不癒，或教此法，遂瘳。乃知萬物相感，莫曉其由也。（《千金方》）,黃土
急心痛,五十年陳壁土、枯礬各二錢。爲末，蜜丸，艾湯服。（《集玄方》）,東壁土
霍亂煩悶,向陽壁土，煮汁服。（《聖濟錄》）,東壁土
解烏頭毒,不拘川烏、草烏毒。用多年陳壁土，泡湯服之。冷水亦可。（《通變要法》）,東壁土
六畜肉毒,東壁土末，水服一錢，即安。（《集玄方》）,東壁土
目中翳膜,東壁土細末，日點之，淚出佳。（《肘後方》）,東壁土
肛門凸出,故屋東壁上土一升，研末，以長皂莢挹末粉之，仍炙皂莢，更互熨之。（《外台秘要》）,東壁土
痱子瘙癢,乾壁土末敷之，随手癒。（《普濟方》）,東壁土
耳瘡唇瘡,東壁土和胡粉敷之。（《救急方》）,東壁土
諸般惡瘡,拔毒散∶東牆上土、大黃等分。爲末，用無根井華水調搽，乾再上。（《瑞竹堂方》）,東壁土
發背癰疖多年,煙熏壁土、黃柏等分，爲末。薑汁拌調攤貼之，更以茅香湯調服一錢匕。,東壁土
好魇多夢,燒人灰，置枕中、履中，自止。（《本草拾遺》）,燒屍場上土
小兒夜啼,燒屍場土，置枕邊。（《集簡方》）,燒屍場上土
腳底多汗,燒人場上土，鋪于鞋底内蹉之。灰亦可。（《集玄方》）,燒屍場上土
腸癰,死人冢上土，作泥塗之，良。《千金方》）,冢上土
濕 疥瘡,胡燕窠大者，用抱子處土，爲末，以淡鹽湯洗拭，乾敷之，日一上。（《小品方》）,胡燕窠土
黃水肥瘡,燕窠土一分，麝香半分。研敷之。（《善濟方》）,胡燕窠土
口角爛瘡,燕窠泥敷之，良。（《救急方》）,胡燕窠土
白秃頭瘡,百年屋下燕窠泥、 窠。研末，剃後麻油調搽。（《聖濟錄》）,胡燕窠土
風瘙瘾疹,胡燕窠土，水和敷之。（《千金方》）,胡燕窠土
小兒丹毒,向陽燕窠土，爲末，雞子白和敷。（《衛生易簡方》）,胡燕窠土
一切惡瘡,燕窠内外泥糞，研細，油調搽。一加黃柏末。（《瑞竹堂方》）,胡燕窠土
女人難産,土蜂兒窠，水泡湯飲之。取時逢單是男，雙是女，最驗。（《婦人良方》,土蜂窠
腫毒 痛,用醋和泥蜂窠，塗之。,土蜂窠
腫毒 痛,加川烏頭等分，雲未結則散，已結則破也,土蜂窠
疔瘡腫痛,土蜂窠、蛇皮（燒）等分。酒服一錢。（《直指方》）,土蜂窠
咽喉乳蛾,土蜂窠一個。爲末。先用楮葉擦破病患舌，令血出。,土蜂窠
蠼 尿瘡,螟蛉窠，水調敷之。（《集玄方》）,土蜂窠
斷截熱瘧,用五月五日午時取蚯蚓糞，以面和丸梧子大，朱砂爲衣。,蚯蚓泥
傷寒谵語,蚯蚓屎，涼水調服。（《簡便方》）,蚯蚓泥
小便不通,蚯蚓糞、朴硝等分。水和敷臍下，即通。（《皆效方》）,蚯蚓泥
小兒吐乳,取田中地龍糞一兩，研末，空心以米湯服半錢，不過二、三服效。（《聖惠方》）,蚯蚓泥
小兒卵腫,地龍糞，以薄荷汁和塗之。（危氏《得效方》）,蚯蚓泥
婦人吹乳,用韭地中蚯蚓屎，研細篩過，米醋調，濃敷，乾則換，三次即癒。涼水調亦可。（蔺氏《經驗方》）,蚯蚓泥
時行腮腫,柏葉汁，調蚯蚓泥塗之。（丹溪方,蚯蚓泥
一切丹毒,水和蛐 泥敷之。（《外台》）,蚯蚓泥
耳後月蝕,燒蚯蚓糞，豬脂和敷。（《子母秘錄》）,蚯蚓泥
耳出水成瘡,蚯蚓糞，爲末敷之，并吹入。（《千金方》）,蚯蚓泥
齒 宣露,蚯蚓泥，水和成團， 赤，研末，臘豬脂調敷之，日三。（《千金方》）,蚯蚓泥
咽喉骨哽,五月五日午時韭畦中，面東勿語，取蚯蚓泥收之，每用少許，搽喉外，其骨自消，名六一泥。,蚯蚓泥
蜈蚣螫傷,蚯蚓泥敷之，效。（《集效方》）,蚯蚓泥
金瘡困頓,蚯蚓屎末，水服方寸匕，日三服。（《千金方》）,蚯蚓泥
解射罔毒,蚯蚓屎末，井水服二方寸匕。（《千金方》）,蚯蚓泥
吐血不止,石榴根下地龍糞，研末，新汲水服三錢。（《聖惠》）,蚯蚓泥
反胃轉食,地龍糞一兩，木香三錢，大黃七錢。爲末。每服五錢，無根水調服。忌煎爆酒醋椒薑熱物。一、二服，其效如神。（邵真人《經驗方》）,蚯蚓泥
燕窩生瘡,韭地蛐 屎，米泔水和， 過，入百草霜等分。研末，香油調塗之。（《摘玄方》）,蚯蚓泥
小兒頭熱，鼻塞不通,濕地龍糞研餅，貼囟上，日數易之。（《聖惠方》）,蚯蚓泥
足 爛瘡,韭地蚯蚓泥，乾研，入輕粉，清油調敷。（《便民圖纂》）,蚯蚓泥
外腎生瘡,蚯蚓屎二分，綠豆粉一分。水研塗之，乾又上之。（《便民圖纂》）,蚯蚓泥
疔腫,糞下土、蟬蛻、全蠍等分。搗作錢大餅，香油煎滾，溫服。以滓敷瘡四圍，疔自出也。（《聖濟總錄》）,糞坑底泥
蠍虿螫叮,蠍有雌雄∶雄者痛在一處，以井底泥封之，乾則易；雌者痛牽諸處，以瓦溝下泥封之。若無雨，以新汲水，從屋上淋下取泥。（《肘後方》）,檐溜下泥
頭風熱痛,井底泥和大黃、芒硝末，敷之。（《千金方》）,井底泥
胎衣不下,井底泥，以雞子大，井華水服，即下。（《集玄方》）,井底泥
卧忽不寤,勿以火照，但痛齧其踵及足拇趾甲際，而多唾其面，以井底泥塗其目，令人垂頭入井中，呼其姓名，便蘇也。（《肘後方》）,井底泥
小兒熱疖,井底泥敷其四圍。（《談野翁方》）,井底泥
蜈蚣螫人,井底泥頻敷之。（《千金方》）,井底泥
鼻淵流水,孩兒茶末，吹之，良。（《本草權度》）,烏爹泥
牙疳口瘡,孩兒茶、硼砂等分。爲末搽之。,烏爹泥
牙疳口瘡,治走馬牙疳，用孩兒茶、雄黃、貝母等分。爲末，米泔漱淨搽之。,烏爹泥
下疳陰瘡,外科用孩兒茶末，米泔洗淨，敷之神效。或加胡黃連等分。,烏爹泥
下疳陰瘡,孩兒茶一錢，珍珠一分，片腦半分，爲末敷之。唐氏用孩兒茶一錢，輕粉一分，片腦一字。爲末搽之。,烏爹泥
痔瘡腫痛,孩兒茶、麝香爲末，唾津調敷。（孫氏《集效方》）,烏爹泥
脫肛氣熱,孩兒茶二分，熊膽五分，片腦一分。爲末，人乳搽肛上，熱汁自下而肛收也。,烏爹泥
猝中惡氣,伏龍肝末，一雞子大，水服取吐。（《千金方》）,伏龍肝
魇寐暴絕,竈心對鍋底土，研末，水服二錢，更吹入鼻。（《千金方》）,伏龍肝
狂癫謬亂不識人,伏龍肝末，水服方寸匕，日三服。（《千金方》）,伏龍肝
小兒夜啼,伏龍肝末二錢，朱砂一錢，麝香少許。爲末，蜜丸綠豆大。每服五丸，桃符湯下。（《普濟方》）,伏龍肝
小兒重舌,釜下土，和苦酒塗之。（《千金方》）,伏龍肝
重舌腫木,伏龍肝末，牛蒡汁調塗之。（《聖惠方》）,伏龍肝
冷熱心痛,伏龍肝末，方寸匕，熱以水溫，冷以酒服。（《外台秘要》）,伏龍肝
反胃吐食,竈中土年久者，爲末，米飲服三錢，經驗。（《百一選方》）,伏龍肝
猝然咳嗽,釜月土一分，豉七分，搗丸梧桐子大。每飲下四十丸。（《肘後方》）,伏龍肝
吐血衄血,伏龍肝末半升。新汲水一升，淘汁，和蜜服。（《廣利方》）,伏龍肝
吐血瀉血心腹痛,伏龍肝、地垆土、多年煙壁土，等分，每服五錢，水二碗，煎一碗，澄清，空心服，白粥補之。（《普濟方》）,伏龍肝
婦人血漏,伏龍肝半兩，阿膠、蠶砂（炒）各一兩。爲末。每空肚酒服二、三錢，以知爲度。（寇氏《衍義》）,伏龍肝
産後血氣攻心痛，惡物不下,用竈中心土研末，酒服二錢，瀉出惡物，立效。（《救急方》）,伏龍肝
妊娠熱病,伏龍肝末一雞子許，水調服之，仍以水和塗臍方寸，乾又上。（《傷寒類要》）,伏龍肝
子死腹中，母氣欲絕,伏龍肝末三錢，水調下。（《十全博救方》）,伏龍肝
橫生逆産,竈中心對鍋底土，細研。每服一錢，酒調，仍搽母臍中。（《救急方》）,伏龍肝
胞衣不下,竈下土一寸，醋調，納臍中，續服甘草湯三、四合。（《産寶》）,伏龍肝
中諸蠱毒,伏龍肝末一雞子大，水服取吐。（《千金方》）,伏龍肝
六畜肉毒,伏龍肝末一雞子大，水服取吐。（《千金方》）,伏龍肝
陰冷發悶，冷氣入腹，腫滿殺人,釜月下土，和雞子白敷之。（《千金方》）,伏龍肝
男陰猝腫,釜月下土，和雞子白敷之。（《千金方》）,伏龍肝
諸腋狐臭,伏龍肝末，頻敷之。（《千金方》）,伏龍肝
耳出汁,綿裹伏龍肝末塞之，日三易。（《聖濟錄》）,伏龍肝
小兒臍瘡,伏龍肝末敷之。（《聖惠方》）,伏龍肝
小兒丹毒,多年竈下黃土末，和屋漏水敷之，新汲水亦可，雞子白或油亦可，乾即易。,伏龍肝
小兒熱疖,釜下土、生椒末等分。醋和塗之。（《千金方》）,伏龍肝
瘡久爛,竈内黃土（年久者，研細）、入黃柏、黃丹、赤石脂、輕粉（末）等分。清油調入，油絹中貼之。勿動，數日癒。縱癢，忍之良。（《濟急方》）,伏龍肝
發背欲死,伏龍肝末，酒調，濃敷之。乾即易，平乃止。（《千金》）,伏龍肝
一切癰腫,伏龍肝，以蒜和作泥，貼之，乾再易。或雞子黃和亦可。（《外台秘要》）,伏龍肝
杖瘡腫痛,釜月下土爲末，油和塗之，卧羊皮上，頻塗。（《千金方》）,伏龍肝
灸瘡腫痛,竈中黃土末，煮汁淋之。（《千金方》）,伏龍肝
白秃臘梨,灰窯内燒過紅土墼四兩，百草霜一兩，雄黃一兩，膽礬六錢，榆皮三錢，輕粉一錢。爲末，豬膽汁調，剃頭後搽之，百發百中，神方也。（《陸氏積德堂方》）,土墼
鼻衄不止,定州白瓷細末，吹少許，立止。（《經驗方》）,白瓷器
吐血不止,上色白瓷器末二錢，皂莢子仁煎湯下，連服三服，即癒。（《聖濟錄》,白瓷器
小便淋痛,真定瓷器（ 研）二兩，生熟地黃末各一兩。每用二錢，木通煎湯服。（《傳信適用方》）,白瓷器
一切 ,處州瓷器爲末。發時用二錢，以手指點津液蘸藥，點舌下咽之，即效。（《普濟方》,白瓷器
目生翳膜,用細料白瓷鍾一個，大火 過，研末，紙篩，加雄黃二分，爲末。早晚各點少許，不可多用，牛角簪撥出翳膜爲妙。若紅，用人退末點四角，即癒。（孫天仁《集效方》,白瓷器
身面白丹,白瓷瓦末，和豬脂塗之。（《梅師方》）赤黑丹疥，或癢或燥，不急治，遍身即死。白瓷末，豬脂和塗之。（《聖濟錄》,白瓷器
湯火傷灼,用青瓷碗片爲末，水飛過，和桐油敷，數次瘥。,白瓷器
湯火傷灼,用景德鎮瓷器打碎，埋竈内，炭火鋪上，一夜取出，去火毒，爲末，入黃丹少許敷之，立癒。,白瓷器
折傷筋骨,秘傳神效散∶治跌撲傷損，骨折骨碎，筋斷，痛不可忍。此藥極能理傷續斷，累用累驗。用路上牆腳下，往來人便溺處，久碎瓦片一塊，洗淨火 ，米醋淬五次，黃色爲度，刀刮細末。每服三錢，好酒調下。在上食前，在下食後。不可以輕易而賤之，誠神方也。,烏古瓦
湯火傷灼,取多年屋上吻獸爲末，油和塗之，立效。（《儒門事親方》）,烏古瓦
灸牙痛法,取土底年深，既古且潤，三角瓦一塊。令三姓童子，候星初出時，指第一星，下火于瓦上灸之。（《本草拾遺》）,烏古瓦
唇吻生瘡,新瓦爲末，生油調塗。（《集玄方》）,烏古瓦
瘢痕凸起,熱瓦頻熨之。（《千金方》）,烏古瓦
蜂虿螫傷,瓦摩其上，唾二七遍，置瓦于故處。（《千金》）,烏古瓦
寒濕腳氣,磚燒紅，以陳臭米泔水淬之，乘熱布包三塊，用膝夾住，綿被覆之，三、五次癒。（《扶夀方》）,古磚
赤眼腫痛,新磚浸糞池中，年久取放陰處，生花刷下，入腦子和點之。（《普濟方》）,古磚
臀生濕瘡,日以新磚坐之，能去濕氣。（《集玄方》）,古磚
牛皮血癬,煙膠三錢，寒水石三錢，白礬二錢，花椒一錢半。爲末，臘豬脂調搽。（《積德堂方》）,煙膠
消渴引飲,瓦窯突上黑煤，乾似鐵屎者，半斤。爲末，入生薑四兩，同搗，絹袋盛，水五升浸汁，每飲五合。（《聖濟錄》）,煙膠
胞衣不下,竈突後黑土三指撮，五更酒下。（陳藏器）,煙膠
吐血不止,金墨磨汁，同萊菔汁飲。或生地黃汁亦可。（《集簡方》）,墨
衄血不止，眩冒欲死,濃墨汁滴入鼻中。（《梅師方》）,墨
熱病衄血出數升者,取好墨爲末，雞子白丸梧子大。用生地黃汁下一、二十丸，少頃再服，仍以蔥汁磨墨，滴入鼻内，即止。（《外台秘要》）,墨
大小便血,好墨細末二錢，阿膠化湯調服。熱多者尤相宜。（寇氏《本草衍義》）,墨
猝淋不通,好墨（燒）一兩，爲末。每服一字，溫水服之。（《普濟方》）,墨
赤白下痢,薑墨丸∶用乾薑、好墨各五兩。爲末，醋漿和丸梧子大。,墨
崩中漏下，青黃赤白，使人無子,好墨一錢，水服，日二服。（《肘後方》）,墨
婦人難産,墨一寸，末之，水服立産。（《肘後方》）,墨
胎死腹中,新汲水磨金墨，服之。（《普濟方》）,墨
胞衣不出，痛引腰脊,好墨，溫酒服二錢。（《肘後方》）,墨
癰腫發背,醋磨濃墨塗四圍，中以豬膽汁塗之，乾又上，一夜即消。（趙氏方）,墨
客忤中惡,多于道間、門外得之，令人心腹絞痛，脹滿，氣衝心胸，不即治殺人。搗墨，水和服二錢。（《肘後方》）,墨
飛絲入目,磨濃墨點之，即出。（《千金方》）,墨
塵物入目,磨濃墨點之，即出。（《千金方》）,墨
産後血運，心悶氣絕,以丈夫小便研濃墨一升服。（《子母秘錄》）,墨
猝心氣痛,铛墨二錢，熱小便調下。（《千金方》）,釜臍墨
中惡心痛,铛墨五錢，鹽一錢。研勻，熱水一盞調下。（《千金方》）,釜臍墨
轉筋入腹,釜底墨末，和酒服一錢。（《肘後方》）,釜臍墨
霍亂吐下,鍋底墨煤半錢，竈額上墨半錢，百沸湯一盞，急攪數千下，以碗覆之，通口服，一、二口立止。（《經驗方》）,釜臍墨
吐血咯血,鍋底墨炒過，研細，井華水服二錢，連進三服。（《濟急方》）,釜臍墨
婦人逆産,以手中指取釜下墨，交畫兒足下，即順。（《千金方》）,釜臍墨
産血不下,鍋底墨煙，熱酒服二錢。（《生生編》）,釜臍墨
舌猝腫大,如豬脬狀，滿口，不治殺人。釜墨和酒塗之。（《千金方》）,釜臍墨
鼻氣壅塞,水服釜墨一錢。（《千金方》）,釜臍墨
鼻中息肉,水服釜墨一錢，三、五日癒。（《普濟方》）,釜臍墨
耳膿血,月下灰吹滿耳，深入無苦，即自出。（《肘後方》）,釜臍墨
小兒口瘡,釜底墨，時時搽之。（《普濟方》）,釜臍墨
手搔瘡腫作膿,用鍋臍墨研細，清油調搽。（《簡便方》）,釜臍墨
衄血不止,百草霜末吹之，立止也。,百草霜
衄血吐血,《劉長春經驗方》∶治吐血，及傷酒食醉飽，低頭掬損肺臟，吐血汗血，口鼻妄行，但聲未失者。用鄉外人家百草霜末，糯米湯服二錢,百草霜
衄血吐血,百草霜五錢，槐花末二兩。,百草霜
齒縫出血,百草霜末摻之，立止。（《集簡方》）,百草霜
婦人崩中,百草霜二錢，狗膽汁拌勻，分作二服，當歸酒下。（《經驗方》）,百草霜
婦人白帶,百草霜一兩，香金墨半兩。研末。每服三錢，豬肝一葉，批開入藥在内，紙裹煨熟，細嚼，溫酒送之。（《永類方》）,百草霜
臟毒下血,百草霜五錢，以米湯調，露一夜，次早空心服。（邵真人《經驗方》）,百草霜
暴作瀉痢,百草霜末，米飲調下二錢。（《續十全方》）,百草霜
一切痢下,初起一服如神，名鐵刷丸。百草霜三錢，金墨一錢，半夏七分，巴豆（煮）,百草霜
小兒積痢,駐車丸∶用百草霜二錢，巴豆（煨去油）一錢。研勻，以飛羅面糊和丸綠豆大。,百草霜
挾熱下痢膿血,竈突中墨、黃連各一兩。爲末。每酒下二錢，日二服。（《聖惠方》）,百草霜
寒熱瘧疾,黃丹、百草霜等分，爲末。發日，空心米飲服三錢，不過二服癒。或糊丸，或蒜丸，皆效。,百草霜
魇寐猝死,鍋底墨，水灌二錢，并吹鼻。（《醫說》）,百草霜
屍厥不醒，脈動如故,竈突墨彈丸，漿水和飲，仍針百會、足大趾、中趾甲側。（《千金方》）,百草霜
咽中結塊，不通水食，危困欲死,百草霜，蜜和丸芡子大。每新汲水化一丸灌下。甚者不過二丸，名百靈丸。（《普濟方》）,百草霜
鼻瘡膿臭,百草霜末，冷水服二錢。（《三因方》）,百草霜
白秃頭瘡,百草霜和豬脂塗之。（《簡便方》）,百草霜
頭瘡諸瘡,以醋湯洗淨，百草霜入膩粉少許，生油調塗，立癒。（《證類本草》）,百草霜
翻胃吐食,梁上塵，黑驢尿調服之。（《集簡方》）,梁上塵
